date,lockdown,mask,quarantine,close,shutdown,distancing,gatherings
2020-07-25,5878,10920,4099,1776,0,3669,0
2020-07-26,5615,9861,4576,1652,0,3469,0
2020-07-27,7385,12463,4830,2896,0,3254,0
2020-07-28,6708,10073,4539,2578,0,2657,0
2020-07-29,7479,21150,4133,3218,0,2987,0
2020-07-30,8233,18944,3713,2726,0,3620,0
2020-07-31,9741,11598,2863,2372,0,3655,0
2020-08-01,7596,8798,2511,2478,1095,2603,0
2020-08-02,8899,8089,2671,2092,0,2296,0
2020-08-03,8249,9247,3048,2871,0,2693,0
2020-08-04,7512,9049,2996,2582,0,2435,0
2020-08-05,7306,8890,4425,2561,0,2397,0
2020-08-06,8534,8656,4920,2119,0,2297,0
2020-08-07,9158,8276,3967,1931,0,2355,0
2020-08-08,6316,6599,2338,1403,0,1935,0
2020-08-09,5901,7814,2689,1498,0,2176,0
2020-08-10,6015,9469,2870,1979,0,2327,0
2020-08-11,8935,8659,3614,1877,0,2061,0
2020-08-12,7443,7786,3051,1922,0,2079,0
2020-08-13,6584,9135,4288,1986,0,2107,0
2020-08-14,6545,8111,5301,1834,0,2182,0
2020-08-15,4973,5783,2906,1315,0,1811,0
2020-08-16,5315,5782,2448,1448,0,1514,0
2020-08-17,8162,7878,3545,1945,0,2276,0
2020-08-18,7307,6592,3362,2176,0,2508,0
2020-08-19,6841,5982,3202,1700,0,2236,0
2020-08-20,5943,5541,2802,1579,0,1956,0
2020-08-21,6514,6054,3006,1453,0,2225,0
2020-08-22,5118,4983,2244,1452,0,1741,0
2020-08-23,5486,5050,1972,1353,0,1721,0
2020-08-24,6770,6017,2917,1551,0,2110,0
2020-08-25,6314,6890,3001,1810,0,2324,0
2020-08-26,5928,5310,2720,2275,0,2555,0
2020-08-27,5314,6123,3370,1985,0,2864,0
2020-08-28,4906,6199,2641,1839,0,3206,0
2020-08-29,5844,4884,1721,1420,0,2671,0
2020-08-30,4525,4946,2034,1267,0,1672,0
2020-08-31,5255,5891,2903,1596,0,2281,0
2020-09-01,4776,5224,2169,1369,0,2006,0
2020-09-02,5792,8184,2335,1625,0,2719,0
2020-09-03,4344,7834,3022,1838,0,2446,0
2020-09-04,4212,6713,3017,1682,0,2420,0
2020-09-05,4705,5205,1884,1068,706,2087,0
2020-09-06,5137,4579,1855,1108,0,2022,0
2020-09-07,5373,5077,2819,1631,0,2707,0
2020-09-08,6707,6306,2423,2145,0,3040,3322
2020-09-09,6181,6536,2322,2391,0,2289,2637
2020-09-10,5194,5915,2442,2035,0,2240,0
2020-09-11,5752,5388,2102,1569,0,1891,0
2020-09-12,4452,4782,1892,1201,0,1556,0
2020-09-13,8877,4831,1815,1200,0,1984,0
2020-09-14,7429,6241,2204,2084,0,2496,1134
2020-09-15,5276,5587,2005,1595,0,1494,0
2020-09-16,6469,8622,2115,1826,0,1933,0
2020-09-17,7893,9067,2726,2037,0,1922,0
2020-09-18,9503,7091,2006,2228,0,1956,0
2020-09-19,5807,3820,1174,1182,0,1237,0
2020-09-20,5937,4536,1300,1214,0,1414,0
2020-09-21,8268,6013,1750,2015,0,2047,0
2020-09-22,6884,7046,2058,2595,0,1931,0
2020-09-23,5836,6849,1747,2257,0,1868,0
2020-09-24,6226,7480,2531,1870,0,1926,0
2020-09-25,5426,5598,1733,1368,0,1556,0
2020-09-26,5696,4998,1427,1389,0,1753,0
2020-09-27,4491,3717,1402,1054,0,1402,0
2020-09-28,5832,5186,2240,1873,0,1490,0
2020-09-29,5730,5783,2123,1941,0,1482,0
2020-09-30,5889,4851,1681,1535,0,1605,0
2020-10-01,5371,10612,7229,4169,0,1917,0
2020-10-02,3257,30985,9253,4424,0,3207,0
2020-10-03,3450,17446,4075,2661,0,2983,0
2020-10-04,4578,19125,3591,2851,0,2090,0
2020-10-05,5501,22961,4952,3558,0,2547,0
2020-10-06,5073,18097,5457,2922,0,2515,0
2020-10-07,5824,11052,3704,2858,0,2120,0
2020-10-08,6560,7961,2467,2352,0,2210,0
2020-10-09,6273,7257,2431,2681,1268,2045,0
2020-10-10,5454,7970,1737,1439,0,1975,0
2020-10-11,7715,5847,1642,1606,0,1800,0
2020-10-12,12386,9926,2266,2086,0,2233,0
2020-10-13,9136,7448,2172,1872,0,2029,0
2020-10-14,9552,6801,2008,2023,0,1870,1582
2020-10-15,7153,7064,1845,1946,0,2274,1049
2020-10-16,5511,6192,1591,1546,0,1462,0
2020-10-17,5290,6232,1428,1225,0,1485,0
2020-10-18,5882,8393,1362,1201,0,1502,0
2020-10-19,9342,8309,1750,1788,0,1924,0
2020-10-20,8142,6838,1780,1716,0,1617,0
2020-10-21,7445,6883,2185,3326,0,1703,0
2020-10-22,7366,6999,1967,3017,0,1737,0
2020-10-23,8255,8641,1537,1994,0,1842,0
2020-10-24,6806,10057,1918,1892,0,1602,0
2020-10-25,5854,7991,3823,2618,0,1718,0
2020-10-26,7123,7768,2790,2237,0,1846,0
2020-10-27,7841,8211,2111,1787,0,1755,0
2020-10-28,15709,8668,2517,2235,0,1885,0
2020-10-29,11421,8331,2233,2146,0,1867,0
2020-10-30,11115,7681,2051,2021,0,1917,0
2020-10-31,20321,6208,1906,1998,0,1708,0
2020-11-01,14626,6057,2156,3014,0,1707,0
2020-11-02,15080,6474,2559,2103,0,1691,0
2020-11-03,10566,5122,2224,1888,0,1479,0
2020-11-04,9303,3925,1293,2077,0,1197,0
2020-11-05,12122,5699,1856,2126,0,1531,0
2020-11-06,7741,6162,1847,1991,0,1433,0
2020-11-07,5964,7474,1588,1561,0,1968,786
2020-11-08,4524,5233,1133,1053,0,1762,584
2020-11-09,8244,9910,1982,2051,0,2087,0
2020-11-10,7120,7843,1637,1994,0,1632,1202
2020-11-11,7237,9002,1590,2376,0,1664,1307
2020-11-12,10975,12897,2463,2831,0,2375,1830
2020-11-13,10214,11835,3283,3188,0,2129,2433
2020-11-14,8136,8780,1575,1708,0,1735,1273
2020-11-15,7132,9054,2079,1999,0,2429,1423
2020-11-16,8240,10020,2031,2524,0,2366,2200
2020-11-17,8460,11366,2513,2804,0,2095,1801
2020-11-18,8964,12751,2224,3989,0,1951,1404
2020-11-19,8782,11172,1874,3310,0,1909,1701
2020-11-20,8478,9926,2094,2405,0,1853,1093
2020-11-21,6459,7841,1765,1601,0,1507,0
2020-11-22,6765,6772,1539,1702,0,1653,1063
2020-11-23,8832,8353,2307,2401,0,1861,1952
2020-11-24,8138,7966,3276,2335,0,1643,1840
2020-11-25,6383,6714,2555,2104,0,1540,1402
2020-11-26,6764,4801,1569,1567,873,1337,1687
2020-11-27,6138,4830,1271,1412,0,1222,1097
2020-11-28,4987,4496,1461,1148,0,1238,715
2020-11-29,4237,5239,1471,1214,0,1317,612
2020-11-30,6298,6103,1823,1729,0,1468,0
2020-12-01,5400,5240,2021,1626,0,1231,0
2020-12-02,5154,5615,3956,1568,0,1434,0
2020-12-03,4798,7010,2489,1868,0,1405,0
2020-12-04,4309,8215,1966,1633,0,1427,0
2020-12-05,3601,9938,1290,1174,0,1402,0
2020-12-06,3781,7417,1369,1252,0,1291,0
2020-12-07,5655,7146,2306,1960,0,1464,0
2020-12-08,5161,7310,2009,2372,0,1648,0
2020-12-09,4548,7004,1634,1788,0,1358,0
2020-12-10,4999,6921,1640,2078,0,1611,0
2020-12-11,5128,5534,1525,2153,0,1396,0
2020-12-12,3592,4804,935,1320,0,1047,0
2020-12-13,7500,4697,989,1639,0,1179,0
2020-12-14,8842,5565,1335,2254,0,1696,0
2020-12-15,6662,5322,1309,1858,0,1374,0
2020-12-16,7042,6293,1801,2161,0,1496,0
2020-12-17,6444,5670,2116,2292,0,1392,0
2020-12-18,7158,5500,1560,1717,1609,1219,0
2020-12-19,8480,4526,1540,1636,0,1248,0
2020-12-20,7795,4304,1633,2035,0,1277,0
2020-12-21,8730,5295,2439,2622,0,1618,0
2020-12-22,7309,4751,1969,2068,0,1435,0
2020-12-23,6054,4382,2051,1835,0,1424,0
2020-12-24,4255,3161,1665,1243,0,1080,0
2020-12-25,2431,1977,926,584,0,736,0
2020-12-26,4393,2873,1237,1109,0,763,0
2020-12-27,4498,4079,1269,1086,1355,1026,0
2020-12-28,6342,4513,1833,2150,0,1202,0
2020-12-29,10157,6060,1901,2025,0,1437,0
2020-12-30,8862,7191,1664,2417,0,1703,0
2020-12-31,4252,3975,1997,2018,0,1091,0
2021-01-01,3229,3503,1316,1513,0,1108,0
2021-01-02,6041,4220,1265,1709,0,1059,0
2021-01-03,8562,4060,1203,1626,0,1155,0
2021-01-04,23749,4528,1920,2780,0,1336,0
2021-01-05,21618,4431,1808,2068,0,1034,0
2021-01-06,10099,3767,1544,1473,0,927,0
2021-01-07,7727,3079,1664,1369,0,797,0
2021-01-08,8466,3685,2035,1542,0,0,0
2021-01-09,5298,2799,1291,902,0,651,0
2021-01-10,6173,3320,1114,1148,0,730,0
2021-01-11,8652,4483,1555,1575,0,1048,0
2021-01-12,9647,9800,1731,1644,0,1221,0
2021-01-13,6866,5045,1738,1428,0,925,0
2021-01-14,6104,3610,1766,1339,0,0,0
2021-01-15,6381,3586,1757,1655,0,1006,0
2021-01-16,4324,3555,1664,1010,0,723,0
2021-01-17,4958,3518,1621,936,0,0,0
2021-01-18,5543,3298,1537,1035,0,0,0
2021-01-19,7530,3361,1897,1278,0,0,0
2021-01-20,5047,3228,1384,1061,0,830,0
